0, 0.534
5, 0.599
10, 0.650
15, 0.673
20, 0.665
25, 0.627
30, 0.573
35, 0.515
40, 0.470
45, 0.450
50, 0.459
55, 0.494
60, 0.543
65, 0.593
70, 0.626
75, 0.633
80, 0.608
85, 0.556
90, 0.487
95, 0.417
100, 0.362
105, 0.333
110, 0.335
115, 0.365
120, 0.412
125, 0.461
130, 0.496
135, 0.506
140, 0.487
145, 0.441
150, 0.380
155, 0.319
160, 0.273
165, 0.254
170, 0.266
175, 0.306
180, 0.363
185, 0.421
190, 0.464
195, 0.482
200, 0.469
205, 0.429
210, 0.373
215, 0.316
220, 0.273
225, 0.257
230, 0.271
235, 0.313
240, 0.372
245, 0.431
250, 0.477
255, 0.498
260, 0.489
265, 0.453
270, 0.403
275, 0.352
280, 0.317
285, 0.310
290, 0.334
295, 0.387
300, 0.457
305, 0.530
310, 0.589
315, 0.623
320, 0.627
325, 0.605
330, 0.566
335, 0.527
340, 0.502
345, 0.503
350, 0.534
355, 0.591
360, 0.664
365, 0.736
370, 0.792
375, 0.820
380, 0.816
385, 0.783
390, 0.732
395, 0.678
400, 0.637
405, 0.620
410, 0.631
415, 0.669
420, 0.721
425, 0.773
430, 0.809
435, 0.819
440, 0.797
445, 0.748
450, 0.683
455, 0.616
460, 0.565
465, 0.541
470, 0.548
475, 0.583
480, 0.635
485, 0.690
490, 0.731
495, 0.748
500, 0.735
505, 0.696
510, 0.642
515, 0.588
520, 0.549
525, 0.537
530, 0.556
535, 0.602
540, 0.665
545, 0.729
550, 0.778
555, 0.800
560, 0.791
565, 0.755
570, 0.701
575, 0.645
580, 0.603
585, 0.586
590, 0.599
595, 0.637
600, 0.692
605, 0.746
610, 0.785
615, 0.798
620, 0.780
625, 0.734
630, 0.671
635, 0.607
640, 0.558
645, 0.535
650, 0.543
655, 0.579
660, 0.630
665, 0.684
670, 0.722
675, 0.736
680, 0.718
685, 0.674
690, 0.613
695, 0.551
700, 0.504
705, 0.482
710, 0.491
715, 0.526
720, 0.576
725, 0.627
730, 0.663
735, 0.671
740, 0.648
745, 0.597
750, 0.529
755, 0.459
760, 0.403
765, 0.372
770, 0.372
775, 0.398
780, 0.441
785, 0.484
790, 0.514
795, 0.518
800, 0.492
805, 0.441
810, 0.374
815, 0.307
820, 0.257
825, 0.234
830, 0.244
835, 0.283
840, 0.340
845, 0.400
850, 0.448
855, 0.471
860, 0.466
865, 0.434
870, 0.388
875, 0.342
880, 0.311
885, 0.306
890, 0.333
895, 0.387
900, 0.457
905, 0.528
910, 0.583
915, 0.611
920, 0.608
925, 0.576
930, 0.526
935, 0.474
940, 0.434
945, 0.419
950, 0.433
955, 0.473
960, 0.527
965, 0.581
970, 0.619
975, 0.630
980, 0.609
985, 0.561
990, 0.495
995, 0.429
1000, 0.376
1005, 0.350
1010, 0.354
1015, 0.386
1020, 0.434
1025, 0.484
1030, 0.520
1035, 0.530
1040, 0.510
1045, 0.464
1050, 0.402
1055, 0.339
1060, 0.291
1065, 0.270
1070, 0.279
1075, 0.315
1080, 0.368
1085, 0.421
1090, 0.460
1095, 0.473
1100, 0.454
1105, 0.408
1110, 0.345
1115, 0.281
1120, 0.231
1125, 0.207
1130, 0.213
1135, 0.246
1140, 0.296
1145, 0.346
1150, 0.383
1155, 0.394
1160, 0.374
1165, 0.329
1170, 0.268
1175, 0.207
1180, 0.161
1185, 0.143
1190, 0.156
1195, 0.198
1200, 0.258
1205, 0.319
1210, 0.368
1215, 0.391
1220, 0.384
1225, 0.351
1230, 0.302
1235, 0.253
1240, 0.218
1245, 0.209
1250, 0.230
1255, 0.278
1260, 0.342
1265, 0.405
1270, 0.453
1275, 0.474
1280, 0.463
1285, 0.423
1290, 0.366
1295, 0.306
1300, 0.259
1305, 0.237
1310, 0.245
1315, 0.279
1320, 0.328
1325, 0.377
1330, 0.412
1335, 0.420
1340, 0.398
1345, 0.350
1350, 0.285
1355, 0.220
1360, 0.171
1365, 0.150
1370, 0.160
1375, 0.200
1380, 0.257
1385, 0.317
1390, 0.365
1395, 0.388
1400, 0.383
1405, 0.352
1410, 0.307
1415, 0.262
1420, 0.233
1425, 0.231
1430, 0.261
1435, 0.319
1440, 0.393
1445, 0.470
1450, 0.531
1455, 0.567
1460, 0.572
1465, 0.550
1470, 0.510
1475, 0.469
1480, 0.442
1485, 0.441
1490, 0.469
1495, 0.523
1500, 0.594
1505, 0.664
1510, 0.720
1515, 0.749
1520, 0.747
1525, 0.717
1530, 0.671
1535, 0.624
1540, 0.591
1545, 0.584
1550, 0.608
1555, 0.659
1560, 0.726
1565, 0.795
1570, 0.849
1575, 0.877
1580, 0.874
1585, 0.844
1590, 0.798
1595, 0.750
1600, 0.715
1605, 0.706
1610, 0.727
1615, 0.774
1620, 0.836
1625, 0.898
1630, 0.944
1635, 0.963
1640, 0.949
1645, 0.907
1650, 0.848
1655, 0.785
1660, 0.736
1665, 0.712
1670, 0.718
1675, 0.750
1680, 0.798
1685, 0.846
1690, 0.879
1695, 0.887
1700, 0.864
1705, 0.814
1710, 0.749
1715, 0.684
1720, 0.634
1725, 0.612
1730, 0.622
1735, 0.660
1740, 0.716
1745, 0.774
1750, 0.820
1755, 0.841
1760, 0.832
1765, 0.797
1770, 0.747
1775, 0.697
1780, 0.662
1785, 0.653
1790, 0.675
1795, 0.723
1800, 0.788
1805, 0.853
1810, 0.902
1815, 0.924
1820, 0.914
1825, 0.876
1830, 0.820
1835, 0.761
1840, 0.715
1845, 0.693
1850, 0.700
1855, 0.733
1860, 0.780
1865, 0.827
1870, 0.859
1875, 0.863
1880, 0.836
1885, 0.780
1890, 0.708
1895, 0.635
1900, 0.576
1905, 0.544
1910, 0.542
1915, 0.568
1920, 0.610
1925, 0.654
